	SRR1770737	SRR1770738	SRR1770742	SRR1770743	SRR1770744	SRR1770746	SRR1770752	SRR1770753	SRR1770756	SRR1770758	SRR1770760	SRR1770762	SRR1770766	SRR1770768	SRR1770770	SRR1770773	SRR1770775	SRR1770778
SRR1770737	0.0	0.41745232863117604	0.4051889133054512	0.45204508400085064	0.4867796129581059	0.5236407457290707	0.9648401502800028	0.9775997731622599	0.9598780747146807	0.9709364145459701	0.9612249237966967	0.9780959807187921	0.8445452612178351	0.8261146948323528	0.8362515063443681	0.8462465442688027	0.8462465442688027	0.8292337137591267
SRR1770738	0.41745232863117604	0.0	0.4190827248883533	0.4300701779258524	0.5391649535691501	0.5763805203090664	0.9464095838945205	0.9594527539519387	0.9395335648968597	0.9538526972425038	0.953710923654923	0.9678882824129864	0.7697596937690508	0.7543063727227618	0.7666406748422769	0.7790458637555824	0.777840788261147	0.7940029772453392
SRR1770742	0.4051889133054512	0.4190827248883533	0.0	0.3553554972708584	0.5157014248245552	0.5685120861983413	0.9649110370737931	0.9780250939250018	0.9564755086127454	0.9710781881335507	0.9629970936414546	0.9790175090380662	0.7686255050684058	0.7524633160842135	0.7633798823279223	0.7745091089530021	0.7803927128375984	0.7841497129084851
SRR1770743	0.45204508400085064	0.4300701779258524	0.3553554972708584	0.0	0.5587297086552775	0.6162188984192245	0.9730630183596796	0.9800808109449209	0.965336357836535	0.9725668108031473	0.9709364145459701	0.9822074147586305	0.7438151272417949	0.7303466364216347	0.7394201460267952	0.7544481463103424	0.7548025802792939	0.7699723541504218
SRR1770744	0.4867796129581059	0.5391649535691501	0.5157014248245552	0.5587297086552775	0.0	0.403345856666903	0.9533564896859715	0.959523640745729	0.9391791309279082	0.9598780747146807	0.9563337350251648	0.9745516410292763	0.9054370170837173	0.8868646771106543	0.8936698093145247	0.9096902247111364	0.9021762245693628	0.8890621677181542
SRR1770746	0.5236407457290707	0.5763805203090664	0.5685120861983413	0.6162188984192245	0.403345856666903	0.0	0.962429999291132	0.971149074927341	0.9582476784575034	0.9643439427234706	0.9582476784575034	0.9763946976678245	0.9010420358687177	0.88367477139009	0.8943786772524279	0.908485149216701	0.9021762245693628	0.8885659601616219
SRR1770752	0.9648401502800028	0.9464095838945205	0.9649110370737931	0.9730630183596796	0.9533564896859715	0.962429999291132	0.0	0.67115616360672	0.6133834266676118	0.5570993123981003	0.5715602183313249	0.5841071808322109	0.978733961862905	0.978521301481534	0.9793719430070178	0.9824200751400014	0.9788048486566953	0.9707237541645991
SRR1770753	0.9775997731622599	0.9594527539519387	0.9780250939250018	0.9800808109449209	0.959523640745729	0.971149074927341	0.67115616360672	0.0	0.6430141064719642	0.6306798043524492	0.6308924647338201	0.66442191819664	0.9829871694903239	0.9838378110158078	0.9890834337562912	0.9869568299425817	0.9859644148295172	0.9807187920890338
SRR1770756	0.9598780747146807	0.9395335648968597	0.9564755086127454	0.965336357836535	0.9391791309279082	0.9582476784575034	0.6133834266676118	0.6430141064719642	0.0	0.5858793506769688	0.5837527468632594	0.6566952576734955	0.9724250372155667	0.9741972070603246	0.977174452399518	0.9780250939250018	0.9764655844616148	0.9675338484440349
SRR1770758	0.9709364145459701	0.9538526972425038	0.9710781881335507	0.9725668108031473	0.9598780747146807	0.9643439427234706	0.5570993123981003	0.6306798043524492	0.5858793506769688	0.0	0.543418161196569	0.5687956333735025	0.9790175090380662	0.9773162259870986	0.9807187920890338	0.9839086978095981	0.9799390373573403	0.9736301127100021
SRR1770760	0.9612249237966967	0.953710923654923	0.9629970936414546	0.9709364145459701	0.9563337350251648	0.9582476784575034	0.5715602183313249	0.6308924647338201	0.5837527468632594	0.543418161196569	0.0	0.5540511802651166	0.9776706599560502	0.9764655844616148	0.9794428298008081	0.9811441128517757	0.976749131636776	0.9741263202665343
SRR1770762	0.9780959807187921	0.9678882824129864	0.9790175090380662	0.9822074147586305	0.9745516410292763	0.9763946976678245	0.5841071808322109	0.66442191819664	0.6566952576734955	0.5687956333735025	0.5540511802651166	0.0	0.9778124335436308	0.9814276600269369	0.9830580562841142	0.9836251506344368	0.9792301694194372	0.9760402636988729
SRR1770766	0.8445452612178351	0.7697596937690508	0.7686255050684058	0.7438151272417949	0.9054370170837173	0.9010420358687177	0.978733961862905	0.9829871694903239	0.9724250372155667	0.9790175090380662	0.9776706599560502	0.9778124335436308	0.0	0.38697100730133976	0.40284964911037074	0.3434465159140852	0.3769050825831148	0.4090168001701283
SRR1770768	0.8261146948323528	0.7543063727227618	0.7524633160842135	0.7303466364216347	0.8868646771106543	0.88367477139009	0.978521301481534	0.9838378110158078	0.9741972070603246	0.9773162259870986	0.9764655844616148	0.9814276600269369	0.38697100730133976	0.0	0.3678315729779542	0.426171404267385	0.37931523357198554	0.41178138512795065
SRR1770770	0.8362515063443681	0.7666406748422769	0.7633798823279223	0.7394201460267952	0.8936698093145247	0.8943786772524279	0.9793719430070178	0.9890834337562912	0.977174452399518	0.9807187920890338	0.9794428298008081	0.9830580562841142	0.40284964911037074	0.3678315729779542	0.0	0.45076912171262495	0.34528957255263343	0.4207840079393209
SRR1770773	0.8462465442688027	0.7790458637555824	0.7745091089530021	0.7544481463103424	0.9096902247111364	0.908485149216701	0.9824200751400014	0.9869568299425817	0.9780250939250018	0.9839086978095981	0.9811441128517757	0.9836251506344368	0.3434465159140852	0.426171404267385	0.45076912171262495	0.0	0.39951796980222587	0.34614021407811724
SRR1770775	0.8462465442688027	0.777840788261147	0.7803927128375984	0.7548025802792939	0.9021762245693628	0.9021762245693628	0.9788048486566953	0.9859644148295172	0.9764655844616148	0.9799390373573403	0.976749131636776	0.9792301694194372	0.3769050825831148	0.37931523357198554	0.34528957255263343	0.39951796980222587	0.0	0.4195080456510952
