	SRR1770737	SRR1770738	SRR1770742	SRR1770743	SRR1770744	SRR1770746	SRR1770752	SRR1770753	SRR1770756	SRR1770758	SRR1770760	SRR1770762	SRR1770766	SRR1770768	SRR1770770	SRR1770773	SRR1770775	SRR1770778
SRR1770737	0	0.563960839550165	0.6041557273371512	0.5863763540986654	0.5922880280534781	0.5935414478744498	0.8013250127118929	0.8220730631744585	0.796879061167283	0.7881364827186368	0.797590968913424	0.8051047113697429	0.717531912778315	0.6861808632277289	0.6975281940194485	0.7357476079242153	0.7202103626827878	0.7276970831853663
SRR1770738	0.563960839550165	0	0.5700748427799304	0.584349657928475	0.6018122675233374	0.6124138803570207	0.7927367236165934	0.8078419172890008	0.784274803493397	0.7774036524344567	0.7969245717381761	0.79637643941036	0.6965253919787689	0.6745166247446867	0.6894636099774871	0.7127824442358268	0.7204560944522502	0.7317820834759676
SRR1770742	0.6041557273371512	0.5700748427799304	0	0.5788143508609318	0.6008421469916344	0.6034142248858088	0.7912901116214105	0.7972183124591771	0.7767579054726328	0.7739454590735259	0.7842288692966995	0.7855303809488351	0.6762595628309604	0.6839062461823555	0.682609301220116	0.7129701897582054	0.7241384058235585	0.7112641776830088
SRR1770743	0.5863763540986654	0.584349657928475	0.5788143508609318	0	0.5797091990660009	0.6138421780879859	0.7886994747975199	0.7841712893504981	0.7716121991188815	0.7608520509142993	0.7827095909185657	0.7790518804867633	0.6878185989059569	0.6853813259317957	0.6836271737403078	0.7178512510562677	0.7268364551903406	0.7153988654570386
SRR1770744	0.5922880280534781	0.6018122675233374	0.6008421469916344	0.5797091990660009	0	0.5396501051934423	0.803863878326182	0.8182262074742662	0.7903976607807679	0.784856847996225	0.7966788399556642	0.7971751298795775	0.7081980983925648	0.7004199915983281	0.6983021196109869	0.7333911557294036	0.7374798752938332	0.7161015398703731
SRR1770746	0.5935414478744498	0.6124138803570207	0.6034142248858088	0.6138421780879859	0.5396501051934423	0	0.8036089011467098	0.8164134291906204	0.7934986515228477	0.7896314570894223	0.7985728899956392	0.8028518239596919	0.7184867407235199	0.6934653011128011	0.7072975263350497	0.7543902729473109	0.7518132681044646	0.7374087616878992
SRR1770752	0.8013250127118929	0.7927367236165934	0.7912901116214105	0.7886994747975199	0.803863878326182	0.8036089011467098	0	0.6197905441911234	0.5991232955371287	0.6134685453848614	0.5954462584752752	0.6339649303547324	0.7849940089200862	0.7871478240175095	0.8017999001144055	0.7831709644633547	0.8036626388778751	0.7848957163737965
SRR1770753	0.8220730631744585	0.8078419172890008	0.7972183124591771	0.7841712893504981	0.8182262074742662	0.8164134291906204	0.6197905441911234	0	0.6180774404133647	0.6339216846675807	0.6323526475345373	0.6397364561448767	0.7885707707346554	0.8031906810274763	0.7993300202878186	0.7874284922259543	0.8095945709193642	0.7947853615461333
SRR1770756	0.796879061167283	0.784274803493397	0.7767579054726328	0.7716121991188815	0.7903976607807679	0.7934986515228477	0.5991232955371287	0.6180774404133647	0	0.6104676130594573	0.6166932528046665	0.6187720258410289	0.7799186417534484	0.7811749014737324	0.783870343227932	0.7684430625291119	0.799620958524348	0.7882649952529452
SRR1770758	0.7881364827186368	0.7774036524344567	0.7739454590735259	0.7608520509142993	0.784856847996225	0.7896314570894223	0.6134685453848614	0.6339216846675807	0.6104676130594573	0	0.6156028786430354	0.6265299673293501	0.7820286923439143	0.7794097653046667	0.7814041321264981	0.7627672266952683	0.7908650908713332	0.7898938137257812
SRR1770760	0.797590968913424	0.7969245717381761	0.7842288692966995	0.7827095909185657	0.7966788399556642	0.7985728899956392	0.5954462584752752	0.6323526475345373	0.6166932528046665	0.6156028786430354	0	0.6106959124770217	0.7872787272656824	0.7891224918374163	0.7846578916219848	0.7867469267019543	0.8095690445010413	0.7979917774799904
SRR1770762	0.8051047113697429	0.79637643941036	0.7855303809488351	0.7790518804867633	0.7971751298795775	0.8028518239596919	0.6339649303547324	0.6397364561448767	0.6187720258410289	0.6265299673293501	0.6106959124770217	0	0.7897960179512011	0.7964407330622523	0.7883686545356722	0.7914677574953708	0.8077198092216614	0.8030363836491922
SRR1770766	0.717531912778315	0.6965253919787689	0.6762595628309604	0.6878185989059569	0.7081980983925648	0.7184867407235199	0.7849940089200862	0.7885707707346554	0.7799186417534484	0.7820286923439143	0.7872787272656824	0.7897960179512011	0	0.6069020422277913	0.57840056476994	0.6308324665817475	0.6270537339736625	0.5812724889801956
SRR1770768	0.6861808632277289	0.6745166247446867	0.6839062461823555	0.6853813259317957	0.7004199915983281	0.6934653011128011	0.7871478240175095	0.8031906810274763	0.7811749014737324	0.7794097653046667	0.7891224918374163	0.7964407330622523	0.6069020422277913	0	0.5609565045812203	0.6359417371536022	0.5958704313947398	0.6177368320030576
