	SRR1770737	SRR1770738	SRR1770742	SRR1770743	SRR1770744	SRR1770746	SRR1770752	SRR1770753	SRR1770756	SRR1770758	SRR1770760	SRR1770762	SRR1770766	SRR1770768	SRR1770770	SRR1770773	SRR1770775	SRR1770778
SRR1770737	0.0	0.7261200338123415	0.7316857899382171	0.7458223394898856	0.7545454545454545	0.7749266862170088	0.987220447284345	0.9897798742138365	0.9856011519078474	0.9898770788141721	0.9867780097425192	0.9897435897435898	0.964189794091316	0.9508716323296355	0.9566284779050737	0.954995499549955	0.9567062818336163	0.9519650655021834
SRR1770738	0.7261200338123415	0.0	0.7567067530064755	0.7530402245088869	0.7854346123727486	0.7954198473282442	0.9896818572656921	0.9898305084745763	0.9884704073789393	0.9891472868217054	0.987369985141159	0.9905808477237049	0.9558390578999019	0.9451585261353899	0.9567519858781994	0.9529411764705882	0.9529953917050691	0.9526963103122044
SRR1770742	0.7316857899382171	0.7567067530064755	0.0	0.7190669371196755	0.7820723684210527	0.8116627265563435	0.9890210430009149	0.9891891891891892	0.9861676159479251	0.9893529893529893	0.9882629107981221	0.9917081260364843	0.9580712788259959	0.9502712477396021	0.9568480300187617	0.9582463465553236	0.9579667644183774	0.9525252525252526
SRR1770743	0.7458223394898856	0.7530402245088869	0.7190669371196755	0.0	0.775	0.8203309692671394	0.9860982391102873	0.98816029143898	0.9827018121911038	0.9884201819685691	0.9873617693522907	0.990787269681742	0.9520255863539445	0.9459211732355637	0.9544159544159544	0.9544491525423728	0.9523336643495531	0.946611909650924
SRR1770744	0.7545454545454545	0.7854346123727486	0.7820723684210527	0.775	0.0	0.709556057185854	0.9930928626247122	0.9916540212443096	0.990271021542738	0.9930118798043326	0.990578734858681	0.9936350777934936	0.9673258813413586	0.9604863221884499	0.9654901960784313	0.9674378748928878	0.9633550488599348	0.9589958158995816
SRR1770746	0.7749266862170088	0.7954198473282442	0.8116627265563435	0.8203309692671394	0.709556057185854	0.0	0.9901960784313726	0.9903201787043932	0.987688098495212	0.9889807162534435	0.9860557768924303	0.9930555555555556	0.9689336691855583	0.9589552238805971	0.9693721286370597	0.9724770642201835	0.9657915672235481	0.9641401792991035
SRR1770752	0.987220447284345	0.9896818572656921	0.9890210430009149	0.9860982391102873	0.9930928626247122	0.9901960784313726	0.0	0.8420413122721749	0.8086283185840708	0.8166666666666667	0.8042553191489362	0.8209459459459459	0.9864864864864865	0.9877551020408163	0.9871106337271751	0.9877899877899878	0.9852941176470589	0.9847953216374269
SRR1770753	0.9897798742138365	0.9898305084745763	0.9891891891891892	0.98816029143898	0.9916540212443096	0.9903201787043932	0.8420413122721749	0.0	0.8108695652173913	0.8187772925764192	0.8273381294964028	0.8371584699453551	0.9879807692307693	0.98998998998999	0.9937106918238994	0.9880382775119617	0.9911699779249448	0.9850917431192661
SRR1770756	0.9856011519078474	0.9884704073789393	0.9861676159479251	0.9827018121911038	0.990271021542738	0.987688098495212	0.8086283185840708	0.8108695652173913	0.0	0.7964071856287425	0.7871524448705657	0.8214285714285714	0.9831578947368421	0.9865831842576028	0.9859681945743686	0.9832285115303984	0.9823529411764705	0.978744939271255
SRR1770758	0.9898770788141721	0.9891472868217054	0.9893529893529893	0.9884201819685691	0.9930118798043326	0.9889807162534435	0.8166666666666667	0.8187772925764192	0.7964071856287425	0.0	0.7905405405405406	0.8145161290322581	0.989406779661017	0.9891794409377818	0.9896324222431668	0.9873150105708245	0.9901574803149606	0.984725050916497
SRR1770760	0.9867780097425192	0.987369985141159	0.9882629107981221	0.9873617693522907	0.990578734858681	0.9860557768924303	0.8042553191489362	0.8273381294964028	0.7871524448705657	0.7905405405405406	0.0	0.8021338506304558	0.988011988011988	0.9897260273972602	0.9892761394101877	0.9900695134061569	0.9888164026095061	0.9855907780979827
SRR1770762	0.9897435897435898	0.9905808477237049	0.9917081260364843	0.990787269681742	0.9936350777934936	0.9930555555555556	0.8209459459459459	0.8371584699453551	0.8214285714285714	0.8145161290322581	0.8021338506304558	0.0	0.9848156182212582	0.9908508691674291	0.9875120076849183	0.9881593110871906	0.9869346733668342	0.9844398340248963
SRR1770766	0.964189794091316	0.9558390578999019	0.9580712788259959	0.9520255863539445	0.9673258813413586	0.9689336691855583	0.9864864864864865	0.9879807692307693	0.9831578947368421	0.989406779661017	0.988011988011988	0.9848156182212582	0.0	0.7948016415868673	0.8028776978417266	0.8112582781456954	0.801829268292683	0.773095623987034
SRR1770768	0.9508716323296355	0.9451585261353899	0.9502712477396021	0.9459211732355637	0.9604863221884499	0.9589552238805971	0.9877551020408163	0.98998998998999	0.9865831842576028	0.9891794409377818	0.9897260273972602	0.9908508691674291	0.7948016415868673	0.0	0.7817073170731708	0.8293650793650794	0.8012578616352202	0.8062015503875969
SRR1770770	0.9566284779050737	0.9567519858781994	0.9568480300187617	0.9544159544159544	0.9654901960784313	0.9693721286370597	0.9871106337271751	0.9937106918238994	0.9859681945743686	0.9896324222431668	0.9892761394101877	0.9875120076849183	0.8028776978417266	0.7817073170731708	0.0	0.8225352112676056	0.7513812154696132	0.7830319888734353
SRR1770773	0.954995499549955	0.9529411764705882	0.9582463465553236	0.9544491525423728	0.9674378748928878	0.9724770642201835	0.9877899877899878	0.9880382775119617	0.9832285115303984	0.9873150105708245	0.9900695134061569	0.9881593110871906	0.8112582781456954	0.8293650793650794	0.8225352112676056	0.0	0.827893175074184	0.766612641815235
SRR1770775	0.9567062818336163	0.9529953917050691	0.9579667644183774	0.9523336643495531	0.9633550488599348	0.9657915672235481	0.9852941176470589	0.9911699779249448	0.9823529411764705	0.9901574803149606	0.9888164026095061	0.9869346733668342	0.801829268292683	0.8012578616352202	0.7513812154696132	0.827893175074184	0.0	0.7897810218978102
SRR1770778	0.9519650655021834	0.9526963103122044	0.9525252525252526	0.946611909650924	0.9589958158995816	0.9641401792991035	0.9847953216374269	0.9850917431192661	0.978744939271255	0.984725050916497	0.9855907780979827	0.9844398340248963	0.773095623987034	0.8062015503875969	0.7830319888734353	0.766612641815235	0.7897810218978102	0.0
