	SRR1770737	SRR1770738	SRR1770742	SRR1770743	SRR1770744	SRR1770746	SRR1770752	SRR1770753	SRR1770756	SRR1770758	SRR1770760	SRR1770762	SRR1770766	SRR1770768	SRR1770770	SRR1770773	SRR1770775	SRR1770778
SRR1770737	0	0.08236814167149441	0.1032788720286922	0.1113554790742091	0.1304483511050716	0.1298817739187887	0.3130453575387666	0.4730995022258109	0.4108231905382998	0.3528018963093424	0.3410354555268029	0.3750905902890801	0.2351040466973874	0.1883403791680461	0.205699535269796	0.2478620283087734	0.2313435696883784	0.2118805245661554
SRR1770738	0.08236814167149441	0	0.09703035217589534	0.09479912988311023	0.1532045419976293	0.1544729086627378	0.30554390774497	0.4739087871752768	0.4097197747411939	0.3537272144339528	0.3389239463494209	0.3763248628009687	0.2031681065262624	0.1617447635267908	0.1769985521457358	0.2144730566054919	0.2010890297055698	0.1808633089569062
SRR1770742	0.1032788720286922	0.09703035217589534	0	0.09222747937790772	0.1138654801126122	0.1101406170493225	0.3450270336671442	0.49963432427581	0.4389808383414139	0.3841032087662797	0.3675311807786127	0.404429536820897	0.2168448376056193	0.1727142451656513	0.188089769559098	0.2302906066042898	0.2147451533075695	0.1940884466464455
SRR1770743	0.1113554790742091	0.09479912988311023	0.09222747937790772	0	0.1649667787128335	0.1600691916863057	0.3435985093495677	0.5077121334952395	0.445140000189015	0.3842273110139331	0.3725618185155749	0.4025679392573194	0.1876113844791343	0.1486740080973192	0.1577703343407007	0.1958795237538757	0.1834245760189182	0.1587271418668044
SRR1770744	0.1304483511050716	0.1532045419976293	0.1138654801126122	0.1649667787128335	0	0.06053866823302782	0.34900001872944	0.4929287131054804	0.4345006259228091	0.3843692941419382	0.3644330876645334	0.4060839893923474	0.2797849734216341	0.2311249649229019	0.2473674990755707	0.2981255723031145	0.2706506964297128	0.255754223207914
SRR1770746	0.1298817739187887	0.1544729086627378	0.1101406170493225	0.1600691916863057	0.06053866823302782	0	0.3601506542871838	0.5021251345815585	0.4462631418443225	0.3939323936568506	0.3767812682198284	0.4146757609630964	0.2779010694752461	0.2263484352814177	0.2433269343485552	0.29586087793208	0.2669245713629091	0.2543919672550256
SRR1770752	0.3130453575387666	0.30554390774497	0.3450270336671442	0.3435985093495677	0.34900001872944	0.3601506542871838	0	0.2744191013567694	0.249761969747077	0.1685938775270493	0.1842835765048728	0.2043033178215735	0.3643117281941296	0.3461778154311931	0.3585037623289052	0.3567392511194973	0.3683344656953121	0.3437872509474681
SRR1770753	0.4730995022258109	0.4739087871752768	0.49963432427581	0.5077121334952395	0.4929287131054804	0.5021251345815585	0.2744191013567694	0	0.2384312158320589	0.2328483780074428	0.236995736736512	0.2418252693002261	0.509735575551669	0.4936494239205453	0.5080085623628009	0.5067812000904727	0.5137624671016107	0.4962312820612577
SRR1770756	0.4108231905382998	0.4097197747411939	0.4389808383414139	0.445140000189015	0.4345006259228091	0.4462631418443225	0.249761969747077	0.2384312158320589	0	0.1979169004585679	0.1940492000123267	0.2189048637390734	0.4651792042058124	0.4456050412655158	0.4615939442752205	0.4618200765690572	0.4690065929879733	0.4486869776374797
SRR1770758	0.3528018963093424	0.3537272144339528	0.3841032087662797	0.3842273110139331	0.3843692941419382	0.3939323936568506	0.1685938775270493	0.2328483780074428	0.1979169004585679	0	0.1285566126951645	0.1418945314380012	0.4084061250155166	0.3849591348848109	0.3974039650900889	0.4132819659972222	0.4045711849872638	0.3895190235269911
