Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1770766_2	SRR1770766_2.fastq	Conventional base calls	Sanger / Illumina 1.9	25444.0	0.0	151.0	55.0	19.867159251689987	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770768_1	SRR1770768_1.fastq	Conventional base calls	Sanger / Illumina 1.9	35193.0	0.0	151.0	53.0	11.039127099139034	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770768_2	SRR1770768_2.fastq	Conventional base calls	Sanger / Illumina 1.9	35193.0	0.0	151.0	55.0	21.46449578041088	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770770_1	SRR1770770_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31083.0	0.0	151.0	53.0	10.475179358491781	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770770_2	SRR1770770_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31083.0	0.0	151.0	55.0	20.9567931023389	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770773_1	SRR1770773_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29739.0	0.0	151.0	54.0	10.101213894212986	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770773_2	SRR1770773_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29739.0	0.0	151.0	56.0	20.074649450216885	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770775_1	SRR1770775_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33487.0	0.0	151.0	53.0	9.887418998417296	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770775_2	SRR1770775_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33487.0	0.0	151.0	55.0	20.130199779018724	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770778_1	SRR1770778_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28561.0	0.0	151.0	54.0	9.702041245054446	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770778_2	SRR1770778_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28561.0	0.0	151.0	55.0	19.225517313819545	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
